States,Indicator,Items,Units,1991,2006,2007,2008,2009
Nigeria,POPULATION OF NIGERIA,Male,,44529608,71345488,,,
Nigeria,POPULATION OF NIGERIA,Female,,44462612,69086302,,,
zz,POPULATION OF NIGERIA,Male,,1125999,1430298,,,
Abia,POPULATION OF NIGERIA,Female,,1212488,1415082,,,
Abia,PROJECTED POPULATION OF NIGERIA,Male,,,,1468916,1508577,1549308
Abia,PROJECTED POPULATION OF NIGERIA,Female,,,,1453289,1492528,1532826
Adamawa,POPULATION OF NIGERIA,Male,,1050791,1607270,,,
Adamawa,POPULATION OF NIGERIA,Female,,1051262,1571680,,,
Adamawa,PROJECTED POPULATION OF NIGERIA,Male,,,,1653881,1701843,1751197
Adamawa,PROJECTED POPULATION OF NIGERIA,Female,,,,1617259,1664159,1712420
Akwa Ibom,POPULATION OF NIGERIA,Male,,1167829,1983202,,,
Akwa Ibom,POPULATION OF NIGERIA,Female,,1241784,1918849,,,
Akwa Ibom,PROJECTED POPULATION OF NIGERIA,Male,,,,2050631,2120352,2192444
Akwa Ibom,PROJECTED POPULATION OF NIGERIA,Female,,,,1984090,2051549,2121302
Anambra,POPULATION OF NIGERIA,Male,,1374671,2117984,,,
Anambra,POPULATION OF NIGERIA,Female,,1421804,2059844,,,
Anambra,PROJECTED POPULATION OF NIGERIA,Male,,,,2177288,2238252,2300923
Anambra,PROJECTED POPULATION OF NIGERIA,Female,,,,2117520,2176810,2237761
Bauchi,POPULATION OF NIGERIA,Male,,2192423,2369266,,,
Bauchi,POPULATION OF NIGERIA,Female,,2158584,2283800,,,
Bauchi,PROJECTED POPULATION OF NIGERIA,Male,,,,2449821,2533115,2619241
Bauchi,PROJECTED POPULATION OF NIGERIA,Female,,,,2361449,2441738,2524758
Bayelsa,POPULATION OF NIGERIA,Male,,,874083,,,
Bayelsa,POPULATION OF NIGERIA,Female,,,830432,,,
Bayelsa,PROJECTED POPULATION OF NIGERIA,Male,,,,899431,925515,952355
Bayelsa,PROJECTED POPULATION OF NIGERIA,Female,,,,854515,879295,904795
Benue,POPULATION OF NIGERIA,Male,,1368965,2144043,,,
Benue,POPULATION OF NIGERIA,Female,,1384112,2109598,,,
Benue,PROJECTED POPULATION OF NIGERIA,Male,,,,2208364,2274615,2342854
Benue,PROJECTED POPULATION OF NIGERIA,Female,,,,2172886,2238073,2305215
Borno,POPULATION OF NIGERIA,Male,,1296111,2163358,,,
Borno,POPULATION OF NIGERIA,Female,,1239892,2007746,,,
Borno,PROJECTED POPULATION OF NIGERIA,Male,,,,2236912,2312967,2391608
Borno,PROJECTED POPULATION OF NIGERIA,Female,,,,2076009,2146594,2219578
Cross River,POPULATION OF NIGERIA,Male,,956136,1471967,,,
Cross River,POPULATION OF NIGERIA,Female,,955161,1421021,,,
Cross River,PROJECTED POPULATION OF NIGERIA,Male,,,,1514654,1558579,1603778
Cross River,PROJECTED POPULATION OF NIGERIA,Female,,,,1462231,1504635,1548270
Delta,POPULATION OF NIGERIA,Male,,1271932,2069309,,,
Delta,POPULATION OF NIGERIA,Female,,1318559,2043136,,,
Delta,PROJECTED POPULATION OF NIGERIA,Male,,,,2135527,2203864,2274387
Delta,PROJECTED POPULATION OF NIGERIA,Female,,,,2108516,2175989,2245621
Ebonyi,POPULATION OF NIGERIA,Male,,,1064156,,,
Ebonyi,POPULATION OF NIGERIA,Female,,,1112791,,,
Ebonyi,PROJECTED POPULATION OF NIGERIA,Male,,,,1143949,1175980,1208907
Ebonyi,PROJECTED POPULATION OF NIGERIA,Female,,,,1143949,1175980,1208907
Edo,POPULATION OF NIGERIA,Male,,1085156,1633946,,,
Edo,POPULATION OF NIGERIA,Female,,1086849,1599420,,,
Edo,PROJECTED POPULATION OF NIGERIA,Male,,,,1642604,1686955,1732502
Edo,PROJECTED POPULATION OF NIGERIA,Female,,,,1642604,1686955,1732502
Ekiti,POPULATION OF NIGERIA,Male,,,1215487,,,
Ekiti,POPULATION OF NIGERIA,Female,,,1183470,,,
Ekiti,PROJECTED POPULATION OF NIGERIA,Male,,,,1253167,1292015,1332068
Ekiti,PROJECTED POPULATION OF NIGERIA,Female,,,,1220158,1257982,1296980
Enugu,POPULATION OF NIGERIA,Male,,1475648,1596042,,,
Enugu,POPULATION OF NIGERIA,Female,,1678732,1671795,,,
Enugu,PROJECTED POPULATION OF NIGERIA,Male,,,,1643923,1693241,1744038
Enugu,PROJECTED POPULATION OF NIGERIA,Female,,,,1721949,1773607,1826816
Gombe,POPULATION OF NIGERIA,Male,,,1244228,,,
Gombe,POPULATION OF NIGERIA,Female,,,1120812,,,
Gombe,PROJECTED POPULATION OF NIGERIA,Male,,,,1284043,1325133,1367537
Gombe,PROJECTED POPULATION OF NIGERIA,Female,,,,1156678,1193692,1231890
Imo,POPULATION OF NIGERIA,Male,,1166448,1976471,,,
Imo,POPULATION OF NIGERIA,Female,,1319187,1951092,,,
Imo,PROJECTED POPULATION OF NIGERIA,Male,,,,2039718,2104989,2172349
Imo,PROJECTED POPULATION OF NIGERIA,Female,,,,2013527,2077960,2144455
Jigawa,POPULATION OF NIGERIA,Male,,1455780,2198076,,,
Jigawa,POPULATION OF NIGERIA,Female,,1419745,2162926,,,
Jigawa,PROJECTED POPULATION OF NIGERIA,Male,,,,2261820,2327413,2394908
Jigawa,PROJECTED POPULATION OF NIGERIA,Female,,,,2225651,2290195,2356610
Kaduna,POPULATION OF NIGERIA,Male,,2041141,3090438,,,
Kaduna,POPULATION OF NIGERIA,Female,,1894477,3023065,,,
Kaduna,PROJECTED POPULATION OF NIGERIA,Male,,,,3183151,3278646,3377005
Kaduna,PROJECTED POPULATION OF NIGERIA,Female,,,,3113757,3207170,3303385
Kano,POPULATION OF NIGERIA,Male,,2958736,4947952,,,
Kano,POPULATION OF NIGERIA,Female,,2851734,4453336,,,
Kano,PROJECTED POPULATION OF NIGERIA,Male,,,,5111234,5279905,5454142
Kano,PROJECTED POPULATION OF NIGERIA,Female,,,,4600296,4752106,4908925
Katsina,POPULATION OF NIGERIA,Male,,1860658,2948279,,,
Katsina,POPULATION OF NIGERIA,Female,,1892475,2853305,,,
Katsina,PROJECTED POPULATION OF NIGERIA,Male,,,,3036727,3127829,3221664
Katsina,PROJECTED POPULATION OF NIGERIA,Female,,,,2938904,3027071,3117883
Kebbi,POPULATION OF NIGERIA,Male,,1035723,1631629,,,
Kebbi,POPULATION OF NIGERIA,Female,,1032767,1624912,,,
Kebbi,PROJECTED POPULATION OF NIGERIA,Male,,,,1682209,1734358,1788123
Kebbi,PROJECTED POPULATION OF NIGERIA,Female,,,,1675284,1727218,1780762
Kogi,POPULATION OF NIGERIA,Male,,1039484,1672903,,,
Kogi,POPULATION OF NIGERIA,Female,,1108272,1641140,,,
Kogi,PROJECTED POPULATION OF NIGERIA,Male,,,,1723090,1774783,1828026
Kogi,PROJECTED POPULATION OF NIGERIA,Female,,,,1690374,1741085,1793318
Kwara,POPULATION OF NIGERIA,Male,,773182,1193783,,,
Kwara,POPULATION OF NIGERIA,Female,,775230,1171570,,,
Kwara,PROJECTED POPULATION OF NIGERIA,Male,,,,1229596,1266484,1304479
Kwara,PROJECTED POPULATION OF NIGERIA,Female,,,,1206717,1242919,1280206
Lagos,POPULATION OF NIGERIA,Male,,3010604,4719125,,,
Lagos,POPULATION OF NIGERIA,Female,,2714512,4394480,,,
Lagos,PROJECTED POPULATION OF NIGERIA,Male,,,,4870137,5025981,5186813
Lagos,PROJECTED POPULATION OF NIGERIA,Female,,,,4535103,4680227,4829994
Nassarawa,POPULATION OF NIGERIA,Male,,,943801,,,
Nassarawa,POPULATION OF NIGERIA,Female,,,925576,,,
Nassarawa,PROJECTED POPULATION OF NIGERIA,Male,,,,972115,1001278,1031317
Nassarawa,PROJECTED POPULATION OF NIGERIA,Female,,,,953343,981944,1011402
Niger,POPULATION OF NIGERIA,Male,,1252466,2004350,,,
Niger,POPULATION OF NIGERIA,Female,,1169115,1950422,,,
Niger,PROJECTED POPULATION OF NIGERIA,Male,,,,2072498,2142963,2215824
Niger,PROJECTED POPULATION OF NIGERIA,Female,,,,2016736,2085305,2156206
Ogun,POPULATION OF NIGERIA,Male,,1147746,1864907,,,
Ogun,POPULATION OF NIGERIA,Female,,1185980,1886233,,,
Ogun,PROJECTED POPULATION OF NIGERIA,Male,,,,1926449,1990022,2055692
Ogun,PROJECTED POPULATION OF NIGERIA,Female,,,,1948479,2012778,2079200
Ondo,POPULATION OF NIGERIA,Male,,1881884,1745057,,,
Ondo,POPULATION OF NIGERIA,Female,,1903454,1715820,,,
Ondo,PROJECTED POPULATION OF NIGERIA,Male,,,,1797409,1851331,1906871
Ondo,PROJECTED POPULATION OF NIGERIA,Female,,,,1767295,1820313,1874923
Osun,POPULATION OF NIGERIA,Male,,1043126,1734149,,,
Osun,POPULATION OF NIGERIA,Female,,1115017,1682810,,,
Osun,PROJECTED POPULATION OF NIGERIA,Male,,,,1789642,1846910,1906011
Osun,PROJECTED POPULATION OF NIGERIA,Female,,,,1736660,1792233,1849584
Oyo,POPULATION OF NIGERIA,Male,,1711428,2802432,,,
Oyo,POPULATION OF NIGERIA,Female,,1741292,2778462,,,
Oyo,PROJECTED POPULATION OF NIGERIA,Male,,,,2897715,2996237,3098109
Oyo,PROJECTED POPULATION OF NIGERIA,Female,,,,2872930,2970609,3071610
Plateau,POPULATION OF NIGERIA,Male,,1657209,1598998,,,
Plateau,POPULATION OF NIGERIA,Female,,1655203,1607533,,,
Plateau,PROJECTED POPULATION OF NIGERIA,Male,,,,1642171,1686510,1732045
Plateau,PROJECTED POPULATION OF NIGERIA,Female,,,,1650936,1695512,1741290
Rivers,POPULATION OF NIGERIA,Male,,2239558,2673026,,,
Rivers,POPULATION OF NIGERIA,Female,,2069999,2525690,,,
Rivers,PROJECTED POPULATION OF NIGERIA,Male,,,,2763909,2857882,2955050
Rivers,PROJECTED POPULATION OF NIGERIA,Female,,,,2611563,2700357,2792169
Sokoto,POPULATION OF NIGERIA,Male,,2208874,1863713,,,
Sokoto,POPULATION OF NIGERIA,Female,,2261302,1838963,,,
Sokoto,PROJECTED POPULATION OF NIGERIA,Male,,,,1919624,1977213,2036530
Sokoto,PROJECTED POPULATION OF NIGERIA,Female,,,,1894132,1950956,2009485
Taraba,POPULATION OF NIGERIA,Male,,759872,1171931,,,
Taraba,POPULATION OF NIGERIA,Female,,752291,1122869,,,
Taraba,PROJECTED POPULATION OF NIGERIA,Male,,,,1205917,1240889,1276874
Taraba,PROJECTED POPULATION OF NIGERIA,Female,,,,1155432,1188940,1223419
Yobe,POPULATION OF NIGERIA,Male,,714729,1205034,,,
Yobe,POPULATION OF NIGERIA,Female,,684958,1116305,,,
Yobe,PROJECTED POPULATION OF NIGERIA,Male,,,,1247210,1290863,1336043
Yobe,PROJECTED POPULATION OF NIGERIA,Female,,,,1155376,1195814,1237667
Zamfara,POPULATION OF NIGERIA,Male,,,1641623,,,
Zamfara,POPULATION OF NIGERIA,Female,,,1637250,,,
Zamfara,PROJECTED POPULATION OF NIGERIA,Male,,,,1694155,1748368,1804316
Zamfara,PROJECTED POPULATION OF NIGERIA,Female,,,,1689642,1743711,1799509
